City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Damnagar,IN,2021-10-28 23:46:31,21.7,71.5167,71.89,40,65,7.07,broken clouds
60,Papetoai,PF,2021-10-28 23:46:31,-17.4961,-149.8729,71.19,82,75,11.01,moderate rain
61,Upernavik,GL,2021-10-28 23:41:43,72.7868,-56.1549,20.48,59,98,4.5,overcast clouds
62,Chuy,UY,2021-10-28 23:46:32,-33.6971,-53.4616,63.91,87,0,8.77,moderate rain
63,Khatanga,RU,2021-10-28 23:46:32,71.9667,102.5,-13.29,99,97,8.37,overcast clouds
64,Nikolskoye,RU,2021-10-28 23:46:33,59.7035,30.7861,49.01,96,100,9.98,moderate rain
65,Beyneu,KZ,2021-10-28 23:46:33,45.3167,55.2,39.49,43,5,9.53,clear sky
66,Canutama,BR,2021-10-28 23:46:33,-6.5339,-64.3831,73.71,96,81,2.55,broken clouds
67,Morales,CO,2021-10-28 23:46:34,2.757,-76.6172,62.01,97,91,1.63,overcast clouds
68,Yellowknife,CA,2021-10-28 23:46:34,62.456,-114.3525,33.42,99,90,5.75,light snow
69,Muros,ES,2021-10-28 23:46:35,42.7762,-9.0603,61.3,92,99,13.96,overcast clouds
70,Tuktoyaktuk,CA,2021-10-28 23:46:35,69.4541,-133.0374,26.6,100,90,4.61,light snow
71,Nong Kung Si,TH,2021-10-28 23:46:36,16.65,103.3,75.81,99,99,3.44,overcast clouds
72,Pitimbu,BR,2021-10-28 23:46:36,-7.4706,-34.8086,79.39,76,74,13.38,broken clouds
73,Lebu,CL,2021-10-28 23:45:59,-37.6167,-73.65,53.22,87,12,15.17,few clouds
74,Hasaki,JP,2021-10-28 23:46:37,35.7333,140.8333,54.28,52,95,25.55,overcast clouds
75,Sarkand,KZ,2021-10-28 23:46:37,45.41,79.9186,45.46,60,76,4.97,broken clouds
76,Gurlan,UZ,2021-10-28 23:46:38,41.8447,60.3919,33.71,59,0,5.44,clear sky
77,Kodiak,US,2021-10-28 23:43:37,57.79,-152.4072,42.31,45,20,8.05,few clouds
78,Makinsk,KZ,2021-10-28 23:46:38,52.6292,70.4169,23.07,51,87,16.58,overcast clouds
79,Lorengau,PG,2021-10-28 23:44:56,-2.0226,147.2712,85.5,67,78,6.49,broken clouds
80,Hirara,JP,2021-10-28 23:46:39,24.8,125.2833,75.06,73,20,4.61,few clouds
81,Hermanus,ZA,2021-10-28 23:46:39,-34.4187,19.2345,59.9,90,13,9.95,few clouds
82,Hilo,US,2021-10-28 23:46:40,19.7297,-155.09,82.13,71,20,10.36,few clouds
83,San Patricio,US,2021-10-28 23:46:40,28.017,-97.5169,84.29,26,0,9.66,clear sky
84,Tiksi,RU,2021-10-28 23:46:41,71.6872,128.8694,11.05,96,100,5.1,overcast clouds
85,Pevek,RU,2021-10-28 23:46:41,69.7008,170.3133,2.08,93,100,4.74,overcast clouds
86,Tigre,AR,2021-10-28 23:46:42,-34.426,-58.5796,81.25,60,0,11.5,clear sky
87,Yangjiang,CN,2021-10-28 23:46:42,21.85,111.9667,72.03,79,14,6.53,few clouds
88,Pahrump,US,2021-10-28 23:46:42,36.2083,-115.9839,80.51,23,0,1.01,clear sky
89,Atuona,PF,2021-10-28 23:46:43,-9.8,-139.0333,78.55,68,1,15.46,clear sky
90,Alyangula,AU,2021-10-28 23:46:43,-13.8483,136.4192,85.87,66,63,9.22,broken clouds
91,Mandalgovi,MN,2021-10-28 23:46:43,45.7625,106.2708,29.84,82,22,18.43,few clouds
92,Tautira,PF,2021-10-28 23:46:44,-17.7333,-149.15,71.62,79,57,11.99,light rain
93,Vestmannaeyjar,IS,2021-10-28 23:42:04,63.4427,-20.2734,42.84,83,91,6.78,overcast clouds
94,Jamestown,US,2021-10-28 23:46:44,42.097,-79.2353,58.64,67,1,11.5,clear sky
95,Ubauro,PK,2021-10-28 23:46:45,28.1652,69.7289,71.13,24,0,3.18,clear sky
96,Geraldton,AU,2021-10-28 23:46:45,-28.7667,114.6,57.61,58,3,8.05,clear sky
97,Tornio,FI,2021-10-28 23:46:46,65.8481,24.1466,41.02,96,100,10.25,overcast clouds
98,Puerto Ayora,EC,2021-10-28 23:46:46,-0.7393,-90.3518,68.56,93,51,5.99,broken clouds
99,Sola,VU,2021-10-28 23:46:47,-13.8833,167.55,81.48,76,36,16.17,scattered clouds
100,Pisco,PE,2021-10-28 23:46:47,-13.7,-76.2167,62.65,88,0,20.71,clear sky
101,Poronaysk,RU,2021-10-28 23:46:47,49.2167,143.1167,40.89,67,7,13.78,clear sky
102,Horta,PT,2021-10-28 23:42:06,38.5333,-28.6333,69.6,91,94,30.2,overcast clouds
103,Omboue,GA,2021-10-28 23:46:48,-1.5746,9.2618,75.87,92,100,6.11,overcast clouds
104,Bafq,IR,2021-10-28 23:46:48,31.6128,55.4107,55.27,36,0,0.36,clear sky
105,Melfi,IT,2021-10-28 23:46:49,40.9965,15.6514,45.5,93,94,1.32,overcast clouds
106,Windhoek,NA,2021-10-28 23:46:50,-22.5594,17.0832,63.1,82,9,1.14,clear sky
107,Novikovo,RU,2021-10-28 23:46:50,51.1537,37.8879,41.67,91,36,7.9,scattered clouds
108,Tikrit,IQ,2021-10-28 23:46:50,34.6071,43.6782,72.39,34,100,8.63,overcast clouds
109,Saint Pete Beach,US,2021-10-28 23:46:51,27.7253,-82.7412,80.65,71,90,1.01,overcast clouds
110,Imbituba,BR,2021-10-28 23:46:51,-28.24,-48.6703,69.69,82,67,5.12,broken clouds
111,Sao Joao Da Barra,BR,2021-10-28 23:46:51,-21.6403,-41.0511,72.93,88,79,8.84,broken clouds
112,Lamar,US,2021-10-28 23:46:52,33.6668,-95.5836,67.66,35,90,25.32,overcast clouds
113,Chickasha,US,2021-10-28 23:46:52,35.0526,-97.9364,66.88,29,1,21.85,clear sky
114,Axim,GH,2021-10-28 23:46:53,4.8699,-2.2405,77.81,88,93,3.24,overcast clouds
115,Verkhnevilyuysk,RU,2021-10-28 23:46:53,63.4453,120.3167,20.35,88,100,11.05,overcast clouds
116,Yulara,AU,2021-10-28 23:46:54,-25.2406,130.9889,71.44,20,34,14.97,scattered clouds
